				
Astronomy observation log - 20150527				
by Piero Dalle Pezze				
				
completed:	TRUE			
M57	Lyr	Pln Neb	28x +/- OIII	Ring Nebula. I tried the OIII filter with the Nagler 3.5 (103x). Although the ring shape was noticeable, it was just too much magnification and the overall image was largely degraded. At 28x + OIII the Ring Nebula emerged from the background sky and appeared as a colourless bubble. I believe that an exit pupil of 1-1.5mm can improve the view for this target.
M97	UMa	Pln Neb	28x +/- OIII	Owl Nebula. Interesting target. Completely invisible without OIII filter. With the OIII, it emerges from the sky and the nearby stars. It is a quite large planetary nebula. No colour or shape was detectable, but it simply appeared as a grey bubble. At 15x + OIII was detectable, but was too small to see any major detail.
M108	UMa	Galaxy	15x, 28x	Surfboard Galaxy. Invisible at both 15x and 28x. This object as well as most of the other galaxies require larger aperture and / or a darker sky.
NGC6992/ 6960	Cyg	SN Rem	15x + OIII	Veil Nebula. Again, no visible although it is too low on the horizon.
Saturn	Sco	Planet	103x, 206x	It is still fairly low on the horizon. Titan was visible. The Cassini division was not detectable, but it was possible to see a shade in the middle of the ring. At 206x the image was just degraded and difficult to focus. I have to wait for a higher position of the planet.
				
				
				
Date	26/05/2015			
Time	21:15-0:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	9-14C (wind: 15km/h)			
Seeing	2 - Slight undulations			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 13mm, Nagler 3.5mm, Bresser SA 2x			
Power, EP, FOV	15x, 4mm, 4.30deg; 28x, 2.2mm, 2.80deg; 103x, 0.6mm, 0.77deg; 206x, 0.3mm, 0.38deg			
Filters	Astronomik UHC, OIII, Single Polarising Filter			
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	103x +/- SPF	Observed in civil twilight. The seeing was not enough good for pushing magnification beyond 103x. At 103x, two major belts and two moons were visible. I did not spend much on this target tonight because it was too windy when I observed it.
Moon	Leo	Satellite	103x +/- SPF, 206x + SPF	Observed in the twilight. Visible almost 60% of its phase. The SPF seems to stabilise the image if the seeing is not good. This is a lovely target with the TV60, and keeps magnification pretty well. At 206x the moon surface appeared like a bubble at the poles due to the seeing, but there were moments in which it was possible to see a quasi stable image. Subtle details on the surface were observable as well as minute craters and shades on the ground. Interestingly, on the terminator mounts tips were illuminated whereas their bases were obscured. There is so much to see at 206x that one could spend the entire night observing our satellite! Montes Apenninus, Caucasus, and Alpes were incredible targets and appeared just beautiful. The crater Cassini and all the small nearby craters were spectacular. While I am not sure the SPF increased image contrast, I prefer the view with SPF as it seems that the image is just stabler at both 103x and 106x.
M57	Lyr	Pln Neb	28x +/- UHC, 103x +/- UHC or OIII	Ring Nebula. The UHC filter increases a little bit the visibility of this target at 28x, but does not improve the contrast. The object appears as a grey blob without a shape. At 103x the ring was detectable using an UHC filter using averted vision, but this was not easy too see. The ring shape was more noticeable with a OIII filter despite the severe loss in image brightness. Without filter the nebula appeared just as a grey blob and no ring was detectable. Generally, I think an exit pupil of 0.6mm is just too small for nebula filters. It seems to me that 1.0mm is the maximum usable effectively. As this is the exit pupil typically used when observing planetary nebulae, I would say that an OIII filter is a better choice for these targets as it allows to increase contrast which is needed on these targets. Conversely, for bright extended nebulae to watch with low power eyepieces (or exit pupils larger than 3mm), a UHC filter can be beneficial for targeting and maximizing nebulae extension.
M97	UMa	Pln Neb	28x +/- UHC	Owl Nebula. Invisible at 28x with or without UHC filter. This target requires an OIII filter for being detectable with small aperture telescopes. Consistently with what said for M57, the OIII filter is a better choice for planetary nebulae (and for extended nebulae where we want to maximise nebulae contrast).
M81	UMa	Galaxy	15x, 28x	Bode's nebulae. Not easy to find it at 15x with half moon, but M81 and M82 were detectable via star hopping from Dubhe. At 28x this large galaxy shows its core and a bit of brightness on the body. I was very impressed at seeing these two targets and I believe M31, M32, M101, M81, and M82 are the most appreciable galaxies for small telescopes. Averted vision improved the visibility of this target significantly.
M82	UMa	Galaxy	15x, 28x	Cigar galaxy. Its elongated shape was visible. It was amazing to see this galaxy and its neighbour M81 in the same field. These two targets are going to become one of my favourite objects.  
M3	CVn	Glob CL	28x	As all the globular cluster seen with a small telescope, M3 also appears like a little grey cloud. This is a bright globular cluster and a hint of 'granulation' is perceptible although no star can be resolved. Not very easy to find due to the lack of bright stars to star hop from Arcturus.
M5	Ser	Glob CL	28x	It appears like a grey cloud. From the star Unukalhai (Alpha Ser), go South and you find it. It is a relatively easy target. 
M13	Her	Glob CL	28x	Same as M3. Very bright and large globular cluster. Some granulation is perceptible but no star could be resolved.
